name	dtype	shape	nbytes	shard
model.layers.75.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00015-of-00016.safetensors
model.layers.75.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00015-of-00016.safetensors
model.layers.75.self_attn.q_norm.weight	BF16	128	256	model-00015-of-00016.safetensors
model.layers.75.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00015-of-00016.safetensors
model.layers.75.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00015-of-00016.safetensors
model.layers.75.self_attn.q_proj.weight	U32	8192x512	16777216	model-00015-of-00016.safetensors
model.layers.75.self_attn.v_proj.biases	BF16	1024x64	131072	model-00015-of-00016.safetensors
model.layers.75.self_attn.v_proj.scales	BF16	1024x64	131072	model-00015-of-00016.safetensors
model.layers.75.self_attn.v_proj.weight	U32	1024x512	2097152	model-00015-of-00016.safetensors
model.layers.76.input_layernorm.weight	BF16	4096	8192	model-00016-of-00016.safetensors
model.layers.76.mlp.router.expert_bias	F32	96	384	model-00016-of-00016.safetensors
model.layers.76.mlp.router.gate.biases	BF16	96x64	12288	model-00016-of-00016.safetensors
model.layers.76.mlp.router.gate.scales	BF16	96x64	12288	model-00016-of-00016.safetensors
model.layers.76.mlp.router.gate.weight	U32	96x1024	393216	model-00016-of-00016.safetensors
model.layers.76.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00016-of-00016.safetensors
model.layers.76.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00016-of-00016.safetensors
model.layers.76.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00016-of-00016.safetensors
model.layers.76.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.76.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.76.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00016-of-00016.safetensors
model.layers.76.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.76.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.76.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00016-of-00016.safetensors
model.layers.76.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00016-of-00016.safetensors
model.layers.76.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00016-of-00016.safetensors
model.layers.76.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00016-of-00016.safetensors
model.layers.76.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.76.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.76.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00016-of-00016.safetensors
model.layers.76.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.76.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.76.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00016-of-00016.safetensors
model.layers.76.post_attention_layernorm.weight	BF16	4096	8192	model-00016-of-00016.safetensors
model.layers.76.self_attn.k_norm.weight	BF16	128	256	model-00016-of-00016.safetensors
model.layers.76.self_attn.k_proj.biases	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.76.self_attn.k_proj.scales	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.76.self_attn.k_proj.weight	U32	1024x512	2097152	model-00016-of-00016.safetensors
model.layers.76.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00016-of-00016.safetensors
model.layers.76.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00016-of-00016.safetensors
model.layers.76.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00016-of-00016.safetensors
model.layers.76.self_attn.q_norm.weight	BF16	128	256	model-00016-of-00016.safetensors
model.layers.76.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00016-of-00016.safetensors
model.layers.76.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00016-of-00016.safetensors
model.layers.76.self_attn.q_proj.weight	U32	8192x512	16777216	model-00016-of-00016.safetensors
model.layers.76.self_attn.v_proj.biases	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.76.self_attn.v_proj.scales	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.76.self_attn.v_proj.weight	U32	1024x512	2097152	model-00016-of-00016.safetensors
model.layers.77.input_layernorm.weight	BF16	4096	8192	model-00016-of-00016.safetensors
model.layers.77.mlp.router.expert_bias	F32	96	384	model-00016-of-00016.safetensors
model.layers.77.mlp.router.gate.biases	BF16	96x64	12288	model-00016-of-00016.safetensors
model.layers.77.mlp.router.gate.scales	BF16	96x64	12288	model-00016-of-00016.safetensors
model.layers.77.mlp.router.gate.weight	U32	96x1024	393216	model-00016-of-00016.safetensors
model.layers.77.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00016-of-00016.safetensors
model.layers.77.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00016-of-00016.safetensors
model.layers.77.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00016-of-00016.safetensors
model.layers.77.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.77.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.77.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00016-of-00016.safetensors
model.layers.77.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.77.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.77.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00016-of-00016.safetensors
model.layers.77.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00016-of-00016.safetensors
model.layers.77.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00016-of-00016.safetensors
model.layers.77.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00016-of-00016.safetensors
model.layers.77.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.77.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.77.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00016-of-00016.safetensors
model.layers.77.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.77.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.77.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00016-of-00016.safetensors
model.layers.77.post_attention_layernorm.weight	BF16	4096	8192	model-00016-of-00016.safetensors
model.layers.77.self_attn.k_norm.weight	BF16	128	256	model-00016-of-00016.safetensors
model.layers.77.self_attn.k_proj.biases	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.77.self_attn.k_proj.scales	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.77.self_attn.k_proj.weight	U32	1024x512	2097152	model-00016-of-00016.safetensors
model.layers.77.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00016-of-00016.safetensors
model.layers.77.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00016-of-00016.safetensors
model.layers.77.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00016-of-00016.safetensors
model.layers.77.self_attn.q_norm.weight	BF16	128	256	model-00016-of-00016.safetensors
model.layers.77.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00016-of-00016.safetensors
model.layers.77.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00016-of-00016.safetensors
model.layers.77.self_attn.q_proj.weight	U32	8192x512	16777216	model-00016-of-00016.safetensors
model.layers.77.self_attn.v_proj.biases	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.77.self_attn.v_proj.scales	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.77.self_attn.v_proj.weight	U32	1024x512	2097152	model-00016-of-00016.safetensors
model.layers.78.input_layernorm.weight	BF16	4096	8192	model-00016-of-00016.safetensors
model.layers.78.mlp.router.expert_bias	F32	96	384	model-00016-of-00016.safetensors
model.layers.78.mlp.router.gate.biases	BF16	96x64	12288	model-00016-of-00016.safetensors
model.layers.78.mlp.router.gate.scales	BF16	96x64	12288	model-00016-of-00016.safetensors
model.layers.78.mlp.router.gate.weight	U32	96x1024	393216	model-00016-of-00016.safetensors
model.layers.78.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00016-of-00016.safetensors
model.layers.78.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00016-of-00016.safetensors
model.layers.78.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00016-of-00016.safetensors
model.layers.78.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.78.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.78.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00016-of-00016.safetensors
model.layers.78.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.78.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.78.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00016-of-00016.safetensors
model.layers.78.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00016-of-00016.safetensors
model.layers.78.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00016-of-00016.safetensors
model.layers.78.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00016-of-00016.safetensors
model.layers.78.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.78.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.78.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00016-of-00016.safetensors
model.layers.78.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.78.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.78.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00016-of-00016.safetensors
model.layers.78.post_attention_layernorm.weight	BF16	4096	8192	model-00016-of-00016.safetensors
model.layers.78.self_attn.k_norm.weight	BF16	128	256	model-00016-of-00016.safetensors
model.layers.78.self_attn.k_proj.biases	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.78.self_attn.k_proj.scales	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.78.self_attn.k_proj.weight	U32	1024x512	2097152	model-00016-of-00016.safetensors
model.layers.78.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00016-of-00016.safetensors
model.layers.78.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00016-of-00016.safetensors
model.layers.78.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00016-of-00016.safetensors
model.layers.78.self_attn.q_norm.weight	BF16	128	256	model-00016-of-00016.safetensors
model.layers.78.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00016-of-00016.safetensors
model.layers.78.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00016-of-00016.safetensors
model.layers.78.self_attn.q_proj.weight	U32	8192x512	16777216	model-00016-of-00016.safetensors
model.layers.78.self_attn.v_proj.biases	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.78.self_attn.v_proj.scales	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.78.self_attn.v_proj.weight	U32	1024x512	2097152	model-00016-of-00016.safetensors
model.layers.79.input_layernorm.weight	BF16	4096	8192	model-00016-of-00016.safetensors
model.layers.79.mlp.router.expert_bias	F32	96	384	model-00016-of-00016.safetensors
model.layers.79.mlp.router.gate.biases	BF16	96x64	12288	model-00016-of-00016.safetensors
model.layers.79.mlp.router.gate.scales	BF16	96x64	12288	model-00016-of-00016.safetensors
model.layers.79.mlp.router.gate.weight	U32	96x1024	393216	model-00016-of-00016.safetensors
model.layers.79.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00016-of-00016.safetensors
model.layers.79.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00016-of-00016.safetensors
model.layers.79.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00016-of-00016.safetensors
model.layers.79.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.79.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.79.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00016-of-00016.safetensors
model.layers.79.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.79.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00016-of-00016.safetensors
model.layers.79.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00016-of-00016.safetensors
model.layers.79.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00016-of-00016.safetensors
model.layers.79.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00016-of-00016.safetensors
model.layers.79.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00016-of-00016.safetensors
model.layers.79.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.79.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.79.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00016-of-00016.safetensors
model.layers.79.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.79.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00016-of-00016.safetensors
model.layers.79.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00016-of-00016.safetensors
model.layers.79.post_attention_layernorm.weight	BF16	4096	8192	model-00016-of-00016.safetensors
model.layers.79.self_attn.k_norm.weight	BF16	128	256	model-00016-of-00016.safetensors
model.layers.79.self_attn.k_proj.biases	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.79.self_attn.k_proj.scales	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.79.self_attn.k_proj.weight	U32	1024x512	2097152	model-00016-of-00016.safetensors
model.layers.79.self_attn.o_proj.biases	BF16	4096x128	1048576	model-00016-of-00016.safetensors
model.layers.79.self_attn.o_proj.scales	BF16	4096x128	1048576	model-00016-of-00016.safetensors
model.layers.79.self_attn.o_proj.weight	U32	4096x1024	16777216	model-00016-of-00016.safetensors
model.layers.79.self_attn.q_norm.weight	BF16	128	256	model-00016-of-00016.safetensors
model.layers.79.self_attn.q_proj.biases	BF16	8192x64	1048576	model-00016-of-00016.safetensors
model.layers.79.self_attn.q_proj.scales	BF16	8192x64	1048576	model-00016-of-00016.safetensors
model.layers.79.self_attn.q_proj.weight	U32	8192x512	16777216	model-00016-of-00016.safetensors
model.layers.79.self_attn.v_proj.biases	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.79.self_attn.v_proj.scales	BF16	1024x64	131072	model-00016-of-00016.safetensors
model.layers.79.self_attn.v_proj.weight	U32	1024x512	2097152	model-00016-of-00016.safetensors
model.layers.8.input_layernorm.weight	BF16	4096	8192	model-00002-of-00016.safetensors
model.layers.8.mlp.router.expert_bias	F32	96	384	model-00002-of-00016.safetensors
model.layers.8.mlp.router.gate.biases	BF16	96x64	12288	model-00002-of-00016.safetensors
model.layers.8.mlp.router.gate.scales	BF16	96x64	12288	model-00002-of-00016.safetensors
model.layers.8.mlp.router.gate.weight	U32	96x1024	393216	model-00002-of-00016.safetensors
model.layers.8.mlp.shared_mlp.down_proj.biases	BF16	4096x24	196608	model-00002-of-00016.safetensors
model.layers.8.mlp.shared_mlp.down_proj.scales	BF16	4096x24	196608	model-00002-of-00016.safetensors
model.layers.8.mlp.shared_mlp.down_proj.weight	U32	4096x192	3145728	model-00002-of-00016.safetensors
model.layers.8.mlp.shared_mlp.gate_proj.biases	BF16	1536x64	196608	model-00002-of-00016.safetensors
model.layers.8.mlp.shared_mlp.gate_proj.scales	BF16	1536x64	196608	model-00002-of-00016.safetensors
model.layers.8.mlp.shared_mlp.gate_proj.weight	U32	1536x512	3145728	model-00002-of-00016.safetensors
model.layers.8.mlp.shared_mlp.up_proj.biases	BF16	1536x64	196608	model-00002-of-00016.safetensors
model.layers.8.mlp.shared_mlp.up_proj.scales	BF16	1536x64	196608	model-00002-of-00016.safetensors
model.layers.8.mlp.shared_mlp.up_proj.weight	U32	1536x512	3145728	model-00002-of-00016.safetensors
model.layers.8.mlp.switch_mlp.down_proj.biases	BF16	96x4096x24	18874368	model-00002-of-00016.safetensors
model.layers.8.mlp.switch_mlp.down_proj.scales	BF16	96x4096x24	18874368	model-00002-of-00016.safetensors
model.layers.8.mlp.switch_mlp.down_proj.weight	U32	96x4096x192	301989888	model-00002-of-00016.safetensors
model.layers.8.mlp.switch_mlp.gate_proj.biases	BF16	96x1536x64	18874368	model-00002-of-00016.safetensors
model.layers.8.mlp.switch_mlp.gate_proj.scales	BF16	96x1536x64	18874368	model-00002-of-00016.safetensors
model.layers.8.mlp.switch_mlp.gate_proj.weight	U32	96x1536x512	301989888	model-00002-of-00016.safetensors
model.layers.8.mlp.switch_mlp.up_proj.biases	BF16	96x1536x64	18874368	model-00002-of-00016.safetensors
model.layers.8.mlp.switch_mlp.up_proj.scales	BF16	96x1536x64	18874368	model-00002-of-00016.safetensors
model.layers.8.mlp.switch_mlp.up_proj.weight	U32	96x1536x512	301989888	model-00002-of-00016.safetensors
model.layers.8.post_attention_layernorm.weight	BF16	4096	8192	model-00002-of-00016.safetensors
